ProductName,OrderPrice,OrderDate,City
"Chai",472.500000,1997-10-01,"Lule?"
"Chai",72.000000,1997-10-10,"Boise"
"Chai",144.000000,1998-04-07,"Eugene"
"Chai",144.000000,1997-01-07,"S?o Paulo"
"Chai",108.000000,1997-07-25,"Warszawa"
"Chai",540.000000,1997-10-03,"Cunewalde"
"Chai",360.000000,1997-07-07,"Montr?al"
"Chai",342.000000,1998-02-24,"Resende"
"Chai",216.000000,1997-03-17,"Lisboa"
"Chai",720.000000,1998-02-04,"London"
"Chai",180.000000,1997-06-23,"M?xico D.F."
"Chai",54.000000,1997-07-24,"Nantes"
"Chai",180.000000,1998-02-26,"Sevilla"
"Chai",180.000000,1998-04-20,"Charleroi"
"Chai",183.599999,1996-12-03,"Bern"
"Chai",518.399998,1996-08-20,"Cunewalde"
"Chai",172.800000,1996-11-14,"M?xico D.F."
"Chai",345.600000,1997-01-14,"Toulouse"
"Chai",183.599999,1996-11-07,"Stuttgart"
"Chai",378.000000,1998-03-09,"Resende"
"Chai",72.000000,1998-04-06,"Butte"
"Chai",810.000000,1998-03-02,"Tsawassen"
"Chai",202.500000,1997-08-27,"Cork"
"Chai",162.000000,1998-04-15,"Oulu"
"Chai",450.000000,1997-08-12,"Strasbourg"
"Chai",122.399999,1997-05-05,"Oulu"
"Chai",900.000000,1997-11-04,"I. de Margarita"
"Chai",305.999998,1998-02-02,"San Crist?bal"
"Chai",36.000000,1998-04-07,"Helsinki"
"Chai",259.200000,1996-08-30,"Albuquerque"
"Chai",1151.999996,1998-01-22,"Boise"
"Chai",144.000000,1997-11-24,"London"
"Chai",575.999998,1997-04-30,"Frankfurt a.M."
"Chai",337.500000,1998-04-24,"London"
"Chai",611.999996,1998-05-05,"Frankfurt a.M."
"Chai",54.000000,1998-01-19,"I. de Margarita"
"Chai",288.000000,1996-09-30,"Portland"
"Chai",810.000000,1998-04-17,"Boise"
"Chang",273.600000,1997-03-25,"I. de Margarita"
"Chang",85.120000,1996-10-22,"Cork"
"Chang",190.000000,1997-07-25,"Warszawa"
"Chang",581.399996,1997-02-10,"Boise"
"Chang",285.000000,1997-12-31,"Lyon"
"Chang",299.250000,1998-02-03,"Lule?"
"Chang",455.999998,1998-04-22,"Bern"
"Chang",228.000000,1997-04-11,"Seattle"
"Chang",380.000000,1998-02-12,"Charleroi"
"Chang",190.000000,1997-12-23,"Warszawa"
"Chang",151.999999,1998-04-24,"Campinas"
"Chang",912.000000,1997-01-17,"Cunewalde"
"Chang",759.999997,1998-04-01,"Cunewalde"
"Chang",285.000000,1996-12-25,"Boise"
"Chang",156.750000,1998-04-14,"Cunewalde"
"Chang",57.000000,1997-10-29,"Boise"
"Chang",182.399999,1998-01-05,"Rio de Janeiro"
"Chang",950.000000,1997-08-22,"San Crist?bal"
"Chang",380.000000,1998-02-16,"Sevilla"
"Chang",532.000000,1996-07-24,"Br?cke"
"Chang",152.000000,1997-02-04,"London"
"Chang",291.839999,1996-10-30,"M?nchen"
"Chang",427.500000,1997-10-22,"Boise"
"Chang",380.000000,1998-01-28,"M?xico D.F."
"Chang",90.250000,1998-01-26,"Rio de Janeiro"
"Chang",380.000000,1997-08-06,"Rio de Janeiro"
"Chang",304.000000,1996-07-12,"Gen?ve"
"Chang",161.499999,1998-05-06,"Gen?ve"
"Chang",285.000000,1998-01-26,"Albuquerque"
"Chang",364.799999,1998-05-06,"Albuquerque"
"Chang",303.999999,1996-10-11,"Br?cke"
"Chang",95.000000,1997-10-14,"Br?cke"
"Chang",322.999998,1998-05-05,"Frankfurt a.M."
"Chang",227.999999,1997-11-14,"London"
"Chang",270.750000,1997-12-19,"Toulouse"
"Chang",516.799996,1997-03-10,"Seattle"
"Chang",760.000000,1997-12-05,"K?ln"
