City,OrderDate,OrderPrice
"Berlin",1998-03-16,91.200000
"Berlin",1998-01-15,825.000000
"Berlin",1998-01-15,20.800000
"Berlin",1997-10-13,270.000000
"Berlin",1997-10-13,60.000000
"Berlin",1997-10-03,878.000000
"Berlin",1997-08-25,18.000000
"Berlin",1997-08-25,513.000000
"Berlin",1997-08-25,283.500000
"Berlin",1998-04-09,503.499999
"Berlin",1998-04-09,430.000000
"Berlin",1998-03-16,380.000000
"M?xico D.F.",1997-08-08,340.000000
"M?xico D.F.",1998-03-04,348.000000
"M?xico D.F.",1997-11-28,320.000000
"M?xico D.F.",1997-08-08,70.000000
"M?xico D.F.",1997-08-08,69.750000
"M?xico D.F.",1996-09-18,60.000000
"M?xico D.F.",1998-03-04,42.000000
"M?xico D.F.",1998-03-04,60.000000
"M?xico D.F.",1998-03-04,64.400000
"M?xico D.F.",1996-09-18,28.800000
"M?xico D.F.",1997-06-19,560.000000
"M?xico D.F.",1997-04-15,162.562499
"M?xico D.F.",1997-06-19,702.000000
"M?xico D.F.",1997-05-13,165.600000
"M?xico D.F.",1997-09-25,68.000000
"M?xico D.F.",1998-01-28,380.000000
"M?xico D.F.",1997-09-22,796.364994
"M?xico D.F.",1997-09-25,75.000000
"M?xico D.F.",1997-09-25,232.500000
"M?xico D.F.",1997-05-13,87.750000
"M?xico D.F.",1996-11-27,403.200000
"M?xico D.F.",1998-01-28,280.000000
"M?xico D.F.",1997-05-13,742.499999
"M?xico D.F.",1997-04-15,586.499996
"M?xico D.F.",1997-05-13,944.999999
"M?xico D.F.",1997-06-19,820.000000
"M?xico D.F.",1997-09-22,17.000000
"London",1998-03-16,3847.499996
"London",1996-12-16,195.000000
"London",1997-10-16,780.000000
"London",1996-12-16,96.000000
"London",1996-12-16,608.000000
"London",1996-11-15,90.000000
"London",1997-10-16,356.999997
"London",1997-10-16,504.000000
"London",1998-02-02,72.000000
"London",1998-03-03,390.000000
"London",1997-11-14,227.999999
"London",1998-02-02,210.000000
"London",1997-12-08,84.000000
"London",1997-11-17,319.200000
"London",1997-06-04,1060.000000
"London",1998-04-10,187.500000
"London",1998-04-10,304.000000
"London",1998-03-16,593.749999
"London",1997-06-04,237.500000
"London",1997-06-04,210.000000
"London",1997-06-04,590.400000
"London",1997-06-04,45.000000
"London",1997-02-21,270.000000
"London",1996-11-15,390.000000
"London",1997-02-21,137.700000
"London",1997-12-08,258.000000
"London",1997-12-08,510.000000
"London",1997-12-24,56.000000
"London",1997-12-24,135.100000
"London",1997-12-08,625.000000
"Lule?",1996-08-12,280.800000
"Lule?",1996-08-12,300.000000
"Lule?",1997-09-02,237.600000
"Lule?",1997-09-02,324.000000
"Lule?",1997-09-17,258.000000
"Lule?",1996-08-14,43.200000
"Lule?",1996-08-14,384.000000
"Lule?",1996-08-14,186.000000
"Lule?",1998-01-28,300.000000
"Lule?",1998-01-28,819.787500
